name,current_percent_of_portfolio
WAVE Life Sciences Ltd,0.0006237920000000001
"Public Storage, Inc.",0.0006209669999999999
Viavi Solutions Inc,0.0006173379999999999
Illumina Inc,0.000615296
Pentair Plc,0.000613921
Protagonist Therapeutics Inc,0.000611016
CDW Corp.,0.0006101
Global Payments Inc.,0.000610098
Paychex Inc.,0.000607525
Monolithic Power Systems Inc,0.000605086
Old Dominion Freight Line Inc,0.000603348
"Quanta Services, Inc.",0.000602038
Axsome Therapeutics Inc,0.000599291
Starwood Property Trust Inc,0.000596241
ImmunoGen Inc.,0.0005944909999999999
Kraft Heinz Co. (The),0.000590795
Estee Lauder Companies Inc.,0.0005903880000000001
Equifax Inc.,0.000584625
Centene Corp,0.000584598
Marinus Pharmaceuticals Inc,0.000578823
General Motors Co,0.0005781979999999999
American Assets Trust Inc,0.000573494
Autoliv Inc,0.000568288
Discover Financial Services,0.000563079
Biotechne Corp,0.000562848
Arch Capital Group Ltd.,0.000555402
Devon Energy Corp.,0.000553597
Edison International (Southern California Edison),0.0005490720000000001
Screaming Eagle Acquisition Corp,0.000546679
McKesson Corp.,0.000543433
"Cerevel Therapeutics Holdings, Inc.",0.000541611
Leggett & Platt Inc.,0.000539871
Valero Energy Corp.,0.000538241
Dynatrace Inc,0.000535905
"Chipotle Mexican Grill, Inc.",0.000535666
"East West Bancorp, Inc.",0.000532791
Five Below Inc,0.0005276829999999999
Essential Properties Realty Trust Inc,0.000527287
HP Inc,0.0005243600000000001
West Pharmaceutical Services Inc,0.000522334
Delta Air Lines Inc.,0.0005189789999999999
Modine Manufacturing Corp.,0.000518101
Ollies Bargain Outlet Holdings Inc,0.000516636
"Boston Properties, Inc.",0.000512578
Sysco Corp.,0.000512517
Moderna Inc,0.0005117759999999999
"Take-Two Interactive Software, Inc.",0.000510197
Zimmer Biomet Holdings Inc,0.000509757
Autolus Therapeutics PLC,0.000508234
PTC Therapeutics Inc,0.000507278
ResMed Inc.,0.000507048
Warner Bros.Discovery Inc,0.000506041
Scholar Rock Holding Corp,0.000504182
Hershey Company (The),0.0005022490000000001
News Inc. Class A,0.000496448
Host Hotels& Resorts Inc,0.000496137
Revvity Inc.,0.000495847
Tenet Healthcare Corp.,0.000494453
Acadia Healthcare Company Inc.,0.000493001
LyondellBasell Industries NV,0.000488203
AssetMark Financial Holdings Inc,0.00048766799999999997
TTM Technologies Inc,0.00048759499999999996
