Fund Name (AS CITED),SSGA S&P 500 EX-TOB AND FF
Internal Name,Unknown
Restricted y/n,y
Ammount of companies in fund (restricted),NaN
Filing Date (restricted),NaN
Source,NaN
Note:,"The holdings for this security are fully private, but using SPDR's ex-fossil fuels S&P 500 fund, and using our methodology, we can roughly reconstruct their funds. Click ""informed estimate""."
,
Restricted Data:,
Company,Index Weight
Non-Public Holdings,0
,
,
,
,
,
,
,
,
,
,
Unrestricted Data Divider,
Fund Name:,SPDR® S&P® 500 Fossil Fuel Reserves Free ETF
Ammount of companies in fund (restricted),489
Filing Date (restricted),"Apr 29, 2024"
Source,https://www.ssga.com/us/en/institutional/etfs/funds/spdr-sp-500-fossil-fuel-reserves-free-etf-spyx
Company,Index Weight
XCEL ENERGY INC,0.00072127
VICI PROPERTIES INC,0.00072095
WABTEC CORP,0.0007052
HARTFORD FINANCIAL SVCS GRP,0.00070013
EXTRA SPACE STORAGE INC,0.00069298
HERSHEY CO/THE,0.00068513
ANSYS INC,0.00068414
FAIR ISAAC CORP,0.00068254
EQUIFAX INC,0.00066732
EBAY INC,0.00065788
AVALONBAY COMMUNITIES INC,0.00064988
EDISON INTERNATIONAL,0.00064928
METTLER TOLEDO INTERNATIONAL,0.00064806
FORTIVE CORP,0.00064792
TARGA RESOURCES CORP,0.00063274
KEYSIGHT TECHNOLOGIES IN,0.00062927
CBRE GROUP INC  A,0.00062738
LYONDELLBASELL INDU CL A,0.00062509
CHURCH + DWIGHT CO INC,0.00062343
WEST PHARMACEUTICAL SERVICES,0.00062295
WILLIS TOWERS WATSON PLC,0.00062094
WEC ENERGY GROUP INC,0.00061831
HOWMET AEROSPACE INC,0.00061748
CHARTER COMMUNICATIONS INC A,0.00061537
ZIMMER BIOMET HOLDINGS INC,0.00060747
CARDINAL HEALTH INC,0.00060611
DOVER CORP,0.00060296
T ROWE PRICE GROUP INC,0.00060199
FIFTH THIRD BANCORP,0.00060038
DOLLAR TREE INC,0.00059804
HP INC,0.00058955
PULTEGROUP INC,0.00058949
NVR INC,0.0005828
M + T BANK CORP,0.0005794
CORNING INC,0.00057524
RAYMOND JAMES FINANCIAL INC,0.00056572
AMERICAN WATER WORKS CO INC,0.00056363
BUILDERS FIRSTSOURCE INC,0.00055481
WESTERN DIGITAL CORP,0.00055371
ENTERGY CORP,0.00055273
BROADRIDGE FINANCIAL SOLUTIO,0.00055118
WEYERHAEUSER CO,0.00055006
DTE ENERGY COMPANY,0.0005478
NASDAQ INC,0.00054759
GENUINE PARTS CO,0.00054377
TAKE TWO INTERACTIVE SOFTWRE,0.00054003
IRON MOUNTAIN INC,0.00053766
STATE STREET CORP,0.00053593
BALL CORP,0.00053482
HUBBELL INC,0.00053241
ALIGN TECHNOLOGY INC,0.00052967
HEWLETT PACKARD ENTERPRISE,0.00052957
CORPAY INC,0.00052834
EQUITY RESIDENTIAL,0.00052716
SBA COMMUNICATIONS CORP,0.00052688
AXON ENTERPRISE INC,0.00052574
GARMIN LTD,0.00052254
INTL FLAVORS + FRAGRANCES,0.00052125
PTC INC,0.00051929
NETAPP INC,0.00051173
VERALTO CORP,0.00050104
EVERSOURCE ENERGY,0.00050036
STEEL DYNAMICS INC,0.000493
STERIS PLC,0.00049185
BAXTER INTERNATIONAL INC,0.00048793
APTIV PLC,0.00048463
ULTA BEAUTY INC,0.00048315
PPL CORP,0.00048284
FIRSTENERGY CORP,0.00048143
MOLINA HEALTHCARE INC,0.0004813
INVITATION HOMES INC,0.00047642
FIRST SOLAR INC,0.00047405
BROWN + BROWN INC,0.00047183
HUNTINGTON BANCSHARES INC,0.00047175
ILLUMINA INC,0.00046858
ALEXANDRIA REAL ESTATE EQUIT,0.00045908
AMEREN CORPORATION,0.0004587
MCCORMICK + CO NON VTG SHRS,0.00045644
OMNICOM GROUP,0.00045557
TYLER TECHNOLOGIES INC,0.0004551
CBOE GLOBAL MARKETS INC,0.00045132
DOMINO S PIZZA INC,0.00044881
WATERS CORP,0.00044787
DARDEN RESTAURANTS INC,0.00044561
REGIONS FINANCIAL CORP,0.00044553
LEIDOS HOLDINGS INC,0.00044461
SYNCHRONY FINANCIAL,0.00044262
CENTERPOINT ENERGY INC,0.00044169
CLOROX COMPANY,0.0004411
TERADYNE INC,0.00043999
