Name,Total_investment,UCRP_Amount,GEP_Amount
FOUNTAINVEST CHINA GROWTH CAP FUND II,11621376,11621376,0
FOUNTAINVEST CHINA GROWTH CAPITAL FUND,172477,172477,0
FRALOCK TWIN BROOK,25222670,0,25222670
FURTHER GLOBAL CAPITAL I,204189446,142932612,61256834
FURTHER GLOBAL CAPITAL II,100676930,70473851,30203079
FURTHER GLOBAL CAPITAL MANAGEMENT CO-INVESTMENT,28592421,0,28592421
FURTHER GLOBAL CAPITAL MANAGEMENT CO‐INVESTMENT,66715647,66715647,0
GAOLING FUND (EQ),25257249,25257249,0
GAW CAPITAL PARTNERS USA SEPARATE ACCOUNT,24680482,24680482,0
GGV CAPITAL V,79680423,79680423,0
GGV CAPITAL VIII,39472397,39472397,0
GGV DISCOVERY II,27364788,27364788,0
GGV DISCOVERY III,18245536,18245536,0
GGV IV,4915699,4915699,0
GGV VII,57033893,57033893,0
GGV VII PLUS,13877459,13877459,0
GGV VIII PLUS,7159884,7159884,0
GI PARTNERS VI,110497055,110497055,0
GOLDMAN SACHS RENEWABLE ENERGY,495977713,421581056,74396657
H.I.G BAYSIDE LOAN OPP FEEDER V,17876382,17876382,0
H.I.G. BAYSIDE II,2136104,2136104,0
H.I.G. BAYSIDE V,196694056,125188528,71505528
H.I.G. CAPITAL PARTNERS IV,408771,408771,0
H.I.G. CAPITAL PARTNERS V,7796219,7796219,0
H.I.G. CAPITAL PARTNERS VI,18939926,0,18939926
H.I.G. EUROPE CAPITAL PARTNERS II,7836382,7836382,0
H.I.G. EUROPE CAPITAL PARTNERS III,31961419,0,31961419
H.I.G. EUROPE MIDDLE MARKET LBO FUND,40432787,40432787,0
H.I.G. MIDDLE MARKET LBO FUND III,139161171,97412820,41748351
HAZELTON FUND LIMITED,878899401,701124222,177775179
HEALTHCARE INVESTMENT FUND II,310583889,266907951,43675938
HEITMAN HART,81295046,72108706,9186340
HIG MIDDLE MARKET LBO FD II,15887113,15887113,0
HIMALAYA CAPITAL INVESTMENT,601543017,427189743,174353274
HOF MANAGEMENT CO,3634979,2902938,732041
HOMEWARD OPP FUND I LP,17162983,17162983,0
HOMEWARD OPPORTUNITIES FUND,352092937,265902786,86190151
HOMEWARD OPPORTUNITIES FUND I,39496840,0,39496840
"ICON PARTNERS IV, L.P.",36916825,25841777,11075048
ICONIQ CAPITAL CO-INVESTMENT,31288833,0,31288833
ICONIQ CAPITAL CO‐INVESTMENT,17273970,17273970,0
ICONIQ STRATEGIC PARTNERS IV L.P.,16265886,11386120,4879766
ICONIQ STRATEGIC PARTNERS VII,4720978,2360489,2360489
IIFL HIGH GROWTH,114989854,0,114989854
IIFL HIGH GROWTH UCRP,229956326,229956326,0
IMPACTIVE CAPITAL UCRP,328661242,328661242,0
INCENTIVE ACTIVE VALUE,297650691,61066467,236584224
INLAND RETAIL PROPERTY FUND LP,174966,174966,0
INTERSTATE INVESTMENTS SEPARATE ACCOUNT,187199369,187199369,0
IPI DATA CENTER FUND I,120807706,60403853,60403853
JLL PARTNERS CO-INVESTMENT,12073126,0,12073126
JLL PARTNERS CO‐INVESTMENT,12073126,12073126,0
JOHN HANCOCK INFRASTRUCTURE FUND,139919555,118931622,20987933
JOHN HANCOCK-MANULIFE CO-INVESTMENT,36596210,0,36596210
JOHN HANCOCK‐MANULIFE CO‐INVESTMENT,207378524,207378524,0
JOHN HANCOCK‐MANULIFE SEPARATE ACCOUNT,41711367,41711367,0
JP MORGAN SEPARATE ACCOUNT,491635,128772,362863
K1 INVESTMENT MANAGEMENT CO‐INVESTMENT,22244969,22244969,0
"K5 PRIVATE INVESTORS, L.P.",117026805,117026805,0
KEPOS ALPHA FUND,329579735,219430216,110149519
KHOSLA VENTURES III,9601323,9601323,0
KHOSLA VENTURES IV,91141101,91141101,0
KHOSLA VENTURES SEED B L.P.,26619559,26619559,0
"KHOSLA VENTURES SEED, LP",29321365,29321365,0
KHOSLA VENTURES V,120090708,120090708,0
KKR CO-INVESTMENT,13189167,0,13189167
KKR CO‐INVESTMENT,26299356,26299356,0
KKR REAL ESTATE PARTNERS II,46376788,30917859,15458929
KOTAK DIRECT INVESTMENT,333477998,258252098,75225900
KOTAK INDIA GROWTH,305544441,305544441,0
KSL CAPITAL PARTNERS III,23820996,20247847,3573149
"KSL CAPITAL PARTNERS V, L.P.",119463240,59731620,59731620
L'ATTITUDE VENTURES II,5101744,0,5101744
LAFAYETTE SQUARE,34650000,27720000,6930000
LAV OPPORTUNITIES FUND,6935956,0,6935956
LAV VI,16941938,0,16941938
LBA REALTY FUND III,4765884,4765884,0
LIME ROCK PARTNERS CO-INVESTMENT,166378,0,166378
LIME ROCK PARTNERS CO‐INVESTMENT,942808,942808,0
LIME ROCK PARTNERS VI,103906,103906,0
LION INDUSTRIAL TRUST,278189967,230000218,48189749
LION PROPERTIES FUND,160351195,160351195,0
LIONSTONE INVESTMENTS SEPARATE ACCOUNT,121504837,97203870,24300967
LONETREE CAPITAL CO-INVESTMENT,13242955,0,13242955
LONETREE CAPITAL CO‐INVESTMENT,28472352,28472352,0
MADISON DEARBORN CAPITAL PARTNERS CO-INVESTMENT,82682246,0,82682246
MADISON DEARBORN CAPITAL PARTNERS V,4044326,4044326,0
MANULIFE INFRASTRUCTURE FUND II,153889523,130806095,23083428
METROPOLITAN WORKFORCE HOUSING FUND,1011153,957934,53219
MISSION BAY CAPITAL II,4656377,0,4656377
MISSION BAY CAPITAL III,4392960,0,4392960
MOLPUS - SEVEN STATES TIMBERLAND,10577656,0,10577656
MOLPUS ‐ SEVEN STATES TIMBERLAND,59940048,59940048,0
MORAINE FUND,892371508,547360463,345011045
MSA ACCELERATION FUND,13105524,13105524,0
MSA ENTERPRISES,24656488,14954160,9702328
MSA INVESTORS,50009217,0,50009217
MSCI ACWI IMI EX-TOB AND FF,2350076006,0,2350076006
MSCI ACWI IMI TF EX‐TOB AND FF,33245704985,33245704985,0
NEOTRIBE VENTURES CO-INVESTMENT,271505,0,271505
NEOTRIBE VENTURES I,35343353,0,35343353
"NEOTRIBE VENTURES II, L.P.",12914225,0,12914225
NOMURA HIGH YIELD TOTAL RETURN,1659268360,1659268360,0
OLYMPUS GROWTH FUND VII,175197828,175197828,0
ORBIMED ROYALTIES FUND I,8088268,6875028,1213240
ORION MINE FINANCE FUND II,144232536,122597656,21634880
ORION MINERAL ROYALTIES FUND,12482931,10610491,1872440
ORION RESOURCE PARTNERS CO-INVESTMENT,9269825,0,9269825
ORION RESOURCE PARTNERS CO‐INVESTMENT,52529011,52529011,0
ORION RESOURCE PARTNERS III - CO-INVEST FUND,4065929,0,4065929
ORION RESOURCE PARTNERS III ‐ CO‐INVEST FUND,23040262,23040262,0
ORION RESOURCES FUND I,8783559,7466025,1317534
ORION RESOURCES FUND I - A,2911301,0,2911301
ORION RESOURCES FUND I ‐ A,16497372,16497372,0
ORION RESOURCES FUND III,97944014,83252412,14691602
ORTH II,26695425,26695425,0
OWL ROCK CAPITAL CORP,321905506,257866778,64038728
"OWL ROCK FIRST LIEN FUND, L.P",261928105,261928105,0
OWL ROCK TECH FINANCE,434390241,220337376,214052865
OWL ROCK TECH FINANCE II,202856930,152583153,50273777
OWL ROCK TECH HOLDINGS II,6768002,0,6768002
PARTNERS GROUP CO-INVESTMENT,7397651,0,7397651
PARTNERS GROUP CO‐INVESTMENT,41920022,41920022,0
PEYTO,42532881,25796931,16735950
PINE BROOK CAPITAL PARTNERS II,73674358,73674358,0
PINE BROOK PARTNERS CO-INVESTMENT,2466906,0,2466906
PINE BROOK PARTNERS CO‐INVESTMENT,13979137,13979137,0
PONTIFAX AGTECH,17432083,14817271,2614812
PONTIFAX AGTECH II,9367523,7962395,1405128
PREGIS TOPCO LLC,33547500,33547500,0
PRISA II,171588619,171588619,0
PRISA LP,29823039,0,29823039
PRISA SA,165337624,165337624,0
PROLOGIS TARGETED U.S. LOGISTICS FUND,458912154,383944999,74967155
RANGELEY LAKE PARTNERS,181141984,181141984,0
RED KITE FUND I,83523655,70995107,12528548
RENEWABLE RESOURCES GROUP CO-INVESTMENT,5919387,0,5919387
RENEWABLE RESOURCES GROUP CO‐INVESTMENT,33543192,33543192,0
RGI LEGACY,473533,473533,0
RIVERSTONE HOLDINGS CO-INVESTMENT,26223034,0,26223034
RIVERSTONE HOLDINGS CO‐INVESTMENT,148597195,148597195,0
RNT ASSOCIATES,181322592,136700291,44622301
RNT CAPITAL CO-INVESTMENT,12917465,0,12917465
RNT CAPITAL CO‐INVESTMENT,38752396,38752396,0
ROCKPOINT REAL ESTATE FUND III,1075898,968308,107590
ROCKPOINT REAL ESTATE FUND IV,2228132,1782506,445626
ROUNDTABLE HEALTHCARE CAPITAL PARTNERSHIP III,24287756,24287756,0
