Name,Investment_Type,Amount
BREIT,REAL ESTATE,1756235634
BLACKSTONE GROUP CO-INVESTMENT,REAL ESTATE,461487014
BROOKFIELD STRATEGIC REAL ESTATE PARTNERS III 1,REAL ESTATE,17608933
"BLACKSTONE PROPERTY PARTNERS US, LP 7",REAL ESTATE,3611406
"KSL CAPITAL PARTNERS V, L.P.",REAL ESTATE,71607584
IPI DATA CENTER FUND I,REAL ESTATE,52961187
BROOKFIELD FAIRFIELD VAMF III,REAL ESTATE,52127043
BLACKSTONE REAL ESTATE PARTNERS ASIA II 4,REAL ESTATE,2313207
BLACKSTONE REAL ESTATE PARTNERS X LP,REAL ESTATE,41419622
BLUE VISTA BOSTON,REAL ESTATE,40810203
"BLACKSTONE BIOMED LIFE SCIENCE REAL ESTATE, LP",REAL ESTATE,40556412
"BLACKSTONE REAL ESTATE PARTNERS IX, LP",REAL ESTATE,37891218
BLACKSTONE PROPERTY PARTNERS EUROPE,REAL ESTATE,30500670
UC VENTURES SEPARATE ACCOUNT,REAL ESTATE,26949000
BLUE VISTA STUDENT HOUSING SELECT STRATEGIES FUND 2,REAL ESTATE,5159839
BROOKFIELD ASSET MANAGEMENT CO-INVESTMENT 2,REAL ESTATE,2295336
BLUE VISTA STUDENT HOUSING SEPEARTE ACCOUNT,REAL ESTATE,20213573
FOCUS SENIOR HOUSING FUND I 1,REAL ESTATE,9220722
PRISA LP,REAL ESTATE,18959608
KKR CO-INVESTMENT,REAL ESTATE,16736791
LION INDUSTRIAL TRUST,REAL ESTATE,11367524
SAGEHALL PARTNERS FUND I LP,REAL ESTATE,11042070
KKR REAL ESTATE PARTNERS II,REAL ESTATE,8366309
HEITMAN HART,REAL ESTATE,5902486
CIM FUND VIII,REAL ESTATE,5592194
CERBERUS REAL ESTATE III,REAL ESTATE,3954524
WALTON STREET REAL ESTATE FUND VI,REAL ESTATE,2032412
WESTBROOK REAL ESTATE FUND VIII,REAL ESTATE,1664039
WESTBROOK REAL ESTATE FUND IX,REAL ESTATE,1025468
BLACKSTONE REAL ESTATE PARTNERS VII,REAL ESTATE,1025052
KSL CAPITAL PARTNERS III,REAL ESTATE,901639
CIM REAL ESTATE FUND III,REAL ESTATE,648250
WESTBROOK REAL ESTATE FUND VII,REAL ESTATE,290833
ROCKPOINT REAL ESTATE FUND IV,REAL ESTATE,153991
ROCKPOINT REAL ESTATE FUND III,REAL ESTATE,103181
METROPOLITAN WORKFORCE HOUSING FUND,REAL ESTATE,57786
BLACKSTONE FUND V,REAL ESTATE,51624
BLACKSTONE REAL ESTATE PARTNERS VI,REAL ESTATE,3121
