Name,Investment_Type,Total_investment,UCRP_Amount,GEP_Amount
SEQUOIA CAPITAL GGF III US INDIA ANNEX,PRIVATE EQUITY,58800343,58800343,0
COLUMN GROUP IV,PRIVATE EQUITY,58318855,0,58318855
SG GROWTH PARTNERS III,PRIVATE EQUITY,56589164,0,56589164
BREAKTHROUGH PROPERTIES SEPARATE ACCOUNT,REAL ESTATE,56402426,56402426,0
SAGEHALL PARTNERS FUND I LP,REAL ESTATE,55210348,44168278,11042070
ARSENAL CAPITAL PARTNERS IV,PRIVATE EQUITY,53935439,40451579,13483860
PARTNERS GROUP CO-INVESTMENT,REAL ASSETS,53267578,45277441,7990137
KHOSLA VENTURES IV,PRIVATE EQUITY,52776288,52776288,0
TPG CAPITAL VIII (HEALTHCARE I),PRIVATE EQUITY,52608315,52608315,0
HEITMAN HART,REAL ESTATE,52234386,46331900,5902486
THE ENGINE FUND I,PRIVATE EQUITY,52006250,0,52006250
GGV CAPITAL VIII,PRIVATE EQUITY,52004601,52004601,0
H.I.G. CAPITAL PARTNERS VI,PRIVATE EQUITY,50160108,0,50160108
KKR CO-INVESTMENT,REAL ESTATE,50110154,33373363,16736791
A&E REAL ESTATE PARTNERSHIP II,REAL ESTATE,48112750,48112750,0
LONETREE CAPITAL CO-INVESTMENT,PRIVATE EQUITY,47250000,32250000,15000000
EMG II,REAL ASSETS,46738089,39727376,7010713
PINE BROOK CAPITAL PARTNERS II,REAL ASSETS,46660926,46660926,0
"ENCAP FLATROCK MIDSTREAM FUND IV, L.P.",REAL ASSETS,46289674,39346223,6943451
SYCAMORE PARTNERS MANAGEMENT CO-INVESTMENT,PRIVATE EQUITY,45886753,45886753,0
BOW VENTURES FUND II,PRIVATE EQUITY,45842484,30561656,15280828
GGV VII,PRIVATE EQUITY,44761117,44761117,0
RENEWABLE RESOURCES GROUP CO-INVESTMENT,REAL ASSETS,44708831,38002506,6706325
CONGRUENT VENTURES,REAL ASSETS,44609261,37917872,6691389
SAGEHALL PARTNERS SEPARATE ACCOUNT,REAL ESTATE,43978383,43978383,0
SEQUOIA CAPITAL US GROWTH IX,PRIVATE EQUITY,41450555,0,41450555
BLUE VISTA BOSTON,REAL ESTATE,40810203,0,40810203
"ICON PARTNERS IV, L.P.",PRIVATE EQUITY,40264334,28185034,12079300
UCAL EBQP GEP WF ASIAN RECONN,PUBLIC EQUITY,39345721,0,39345721
FOCUS SENIOR HOUSING FUND I,REAL ESTATE,39023890,39023890,0
COLUMN GROUP III,PRIVATE EQUITY,37708183,0,37708183
ICONIQ CAPITAL CO-INVESTMENT,PRIVATE EQUITY,37133351,14763871,22369480
SEQUOIA CAPITAL US VENTURE XVII,PRIVATE EQUITY,37006342,0,37006342
ZMC III,PRIVATE EQUITY,36373913,0,36373913
ORTH II,PRIVATE CREDIT,35717315,35717315,0
SEQUOIA CAPITAL INDIA GROWTH III,PRIVATE EQUITY,35344397,0,35344397
SEQUOIA CAPITAL CHINA GROWTH V,PRIVATE EQUITY,35302717,0,35302717
PREGIS TOPCO LLC,PRIVATE CREDIT,34860000,34860000,0
NEOTRIBE VENTURES I,PRIVATE EQUITY,33918829,0,33918829
AMERRA CAPITAL,PRIVATE CREDIT,33454658,28436459,5018199
THE RISE FUND,PRIVATE EQUITY,31410228,0,31410228
WARBURG PINCUS PRIVATE EQUITY XII,PRIVATE EQUITY,31028034,31028034,0
ORION MINERAL ROYALTIES FUND,REAL ASSETS,31022389,26369031,4653358
JLL PARTNERS CO-INVESTMENT,PRIVATE EQUITY,30994786,15497393,15497393
BREGAL SAGEMOUNT COF II,PRIVATE CREDIT,30611890,30611890,0
MSA ACCELERATION FUND,PRIVATE EQUITY,30495898,30495898,0
FAIRFAX ALLIED WORLD ASSURANCE,PRIVATE CREDIT,29855554,29855554,0
SYCAMORE PARTNERS II,PRIVATE EQUITY,29690689,0,29690689
NASDAQ ETF UCRP,PUBLIC EQUITY,28413087,28413087,0
CIM FUND VIII,REAL ESTATE,27960969,22368775,5592194
COLUMN GROUP II,PRIVATE EQUITY,26336084,0,26336084
LAV VI,PRIVATE EQUITY,25324823,0,25324823
K1 INVESTMENT MANAGEMENT CO-INVESTMENT,PRIVATE EQUITY,25171861,25171861,0
KKR REAL ESTATE PARTNERS II,REAL ESTATE,25098928,16732619,8366309
SYCAMORE PARTNERS,PRIVATE EQUITY,24556030,0,24556030
WARD FERRY RECON,PUBLIC EQUITY,24540130,24540130,0
GAOLING FUND (EQ),PUBLIC EQUITY,24319951,24319951,0
PONTIFAX AGTECH II,REAL ASSETS,23334645,19834448,3500197
A&E NYC WORKFORCE HOUSING,REAL ESTATE,23057153,23057153,0
MSA ENTERPRISES,PRIVATE EQUITY,22905349,13892094,9013255
