Fund Name (AS CITED),ADAGE CAPITAL PARTNERS GP LLC
Internal Name,ADAGE CAPITAL PARTNERS GP LLC
Restricted y/n,n
Ammount of companies in fund (restricted),905
Filing Date (restricted),2026-02-17
Source,SEC EDGAR 13F-HR
Note:,
Restricted Data:,
Company,Index Weight
DELL TECHNOLOGIES INC,0.0004041
FORD MTR CO,0.0004037
AURA BIOSCIENCES INC,0.0004026
KEYSIGHT TECHNOLOGIES INC,0.0004002
EQUITY RESIDENTIAL,0.0003993
INTERACTIVE BROKERS GROUP IN,0.0003914
COSTAR GROUP INC,0.0003893
BJS WHSL CLUB HLDGS INC,0.0003883
FIRST SOLAR INC,0.0003831
STEEL DYNAMICS INC,0.0003819
SANDISK CORP,0.0003797
ARCHER DANIELS MIDLAND CO,0.0003775
VERISK ANALYTICS INC,0.0003751
BORGWARNER INC,0.0003751
TIC SOLUTIONS INC,0.0003741
EMCOR GROUP INC,0.0003741
VIRIDIAN THERAPEUTICS INC,0.0003721
ARES MANAGEMENT CORPORATION,0.0003718
KEMPER CORP,0.0003681
HUMANA INC,0.0003667
SIMPSON MFG INC,0.0003666
NOVO-NORDISK A S,0.0003658
EQUIFAX INC,0.0003629
OMNICOM GROUP INC,0.0003623
COMPASS THERAPEUTICS INC,0.0003606
AMICUS THERAPEUTICS INC,0.0003556
REALTY INCOME CORP,0.0003553
SELECTIVE INS GROUP INC,0.0003546
MDU RES GROUP INC,0.0003545
SAFETY INS GROUP INC,0.0003537
BRISTOL-MYERS SQUIBB CO,0.0003536
SAUL CTRS INC,0.0003531
CF INDS HLDGS INC,0.0003521
QORVO INC,0.0003517
SIMON PPTY GROUP INC NEW,0.0003506
COMFORT SYS USA INC,0.0003503
SHATTUCK LABS INC,0.0003484
ALBEMARLE CORP,0.0003452
EVERSOURCE ENERGY,0.0003452
WILLSCOT HLDGS CORP,0.0003443
KINDER MORGAN INC DEL,0.0003443
CENTERPOINT ENERGY INC,0.0003420
VICI PPTYS INC,0.0003404
SABRA HEALTH CARE REIT INC,0.0003397
GENERAL MLS INC,0.0003389
LIBERTY LIVE HOLDINGS INC,0.0003383
LULULEMON ATHLETICA INC,0.0003378
APEX TREAS CORP,0.0003368
IRHYTHM TECHNOLOGIES INC,0.0003357
BIO-TECHNE CORP,0.0003322
KODIAK SCIENCES INC,0.0003322
IMMUNOVANT INC,0.0003320
NEWMARK GROUP INC,0.0003320
CHIME FINL INC,0.0003309
WILLIS TOWERS WATSON PLC LTD,0.0003307
BETA TECHNOLOGIES INC,0.0003290
ADVANCED DRAIN SYS INC DEL,0.0003288
FOUR CORNERS PPTY TR INC,0.0003281
CRANE NXT CO,0.0003273
UNIVERSAL DISPLAY CORP,0.0003270
