name,ticker,weight
SUPER MICRO COMPUTER INC,SMCI,0.021486
HASBRO INC,HAS,0.021335
GENERAC HOLDINGS INC,GNRC,0.021303
DOMINO S PIZZA INC,DPZ,0.021261
JACK HENRY + ASSOCIATES INC,JKHY,0.021088
HEALTHPEAK PROPERTIES INC,DOC,0.021035
ALIGN TECHNOLOGY INC,ALGN,0.02085
GARTNER INC,IT,0.02083
GLOBE LIFE INC,GL,0.020782
GODADDY INC   CLASS A,GDDY,0.020212
INVESCO LTD,IVZ,0.020087
ASSURANT INC,AIZ,0.019997
CAMDEN PROPERTY TRUST,CPT,0.019484
UDR INC,UDR,0.019233
STANLEY BLACK + DECKER INC,SWK,0.019076
GEN DIGITAL INC,GEN,0.018847
ZEBRA TECHNOLOGIES CORP CL A,ZBRA,0.018799
AES CORP,AES,0.018714
JM SMUCKER CO/THE,SJM,0.018679
TESLA INC,TSLA,0.01855148
REVVITY INC,RVTY,0.018461
TRADE DESK INC/THE  CLASS A,TTD,0.018033
UNIVERSAL HEALTH SERVICES B,UHS,0.017881
SOLVENTUM CORP,SOLV,0.017082
US DOLLAR,-,0.016926
NEWS CORP   CLASS A,NWSA,0.016732
CHARLES RIVER LABORATORIES,CRL,0.016204
BUILDERS FIRSTSOURCE INC,BLDR,0.016057
BERKSHIRE HATHAWAY INC CL B,BRK.B,0.01601691
MOSAIC CO/THE,MOS,0.015814
WYNN RESORTS LTD,WYNN,0.015795
FACTSET RESEARCH SYSTEMS INC,FDS,0.015775
BAXTER INTERNATIONAL INC,BAX,0.015454
FEDERAL REALTY INVS TRUST,FRT,0.015346
SKYWORKS SOLUTIONS INC,SWKS,0.015214
BIO TECHNE CORP,TECH,0.015101
NORWEGIAN CRUISE LINE HOLDIN,NCLH,0.014956
JPMORGAN CHASE + CO,JPM,0.014457629999999999
EPAM SYSTEMS INC,EPAM,0.014373
MOLSON COORS BEVERAGE CO   B,TAP,0.014197
HENRY SCHEIN INC,HSIC,0.013987
BXP INC,BXP,0.013853
FRANKLIN RESOURCES INC,BEN,0.013745
FOX CORP   CLASS B,FOX,0.013732
CONAGRA BRANDS INC,CAG,0.013702
ELI LILLY + CO,LLY,0.01355777
SMITH (A.O.) CORP,AOS,0.013357
MGM RESORTS INTERNATIONAL,MGM,0.012855
ALEXANDRIA REAL ESTATE EQUIT,ARE,0.012232
POOL CORP,POOL,0.012229
HORMEL FOODS CORP,HRL,0.011806
ERIE INDEMNITY COMPANY CL A,ERIE,0.011546
JOHNSON + JOHNSON,JNJ,0.01071977
WALMART INC,WMT,0.01008543
DAVITA INC,DVA,0.009408
BROWN FORMAN CORP CLASS B,BF.B,0.008788
THE CAMPBELL S COMPANY,CPB,0.008131
NEWS CORP  CLASS B,NWS,0.006418
PARAMOUNT SKYDANCE CL B,PSKY,0.005421
VERSIGENT PLC,VGNT,0.003626
CONTRA ABIOMED INC,2223637D,0.0
State Street Global Advisors (SSGA) is now State Street Investment Management. Please click here for more information.,,0.0
"Past performance is not a reliable indicator of future performance. Investment return and principal value will fluctuate, so you may have a gain or loss when shares are sold. Current performance may be higher or lower than that quoted. All results are historical and assume the reinvestment of dividends and capital gains. Visit www.ssga.com for most recent month-end performance.",,0.0
"Portfolio holdings, allocations and weightings are as of the date indicated, are subject to change and should not be considered a recommendation to buy individual securities. For most recent information visit www.ssga.com.",,0.0
