Name,Investment_Type,Amount
PINE BROOK PARTNERS CO-INVESTMENT,REAL ASSETS,13088218
ORION RESOURCES FUND I - A,REAL ASSETS,12875857
ENCAP FLATROCK MIDSTREAM CO-INVESTMENT,REAL ASSETS,362766
FOUNDATION ENERGY FUND IV,REAL ASSETS,248373
ORBIMED ROYALTIES FUND I,REAL ASSETS,219223
BREIT,REAL ESTATE,3523218069
BLACKSTONE GROUP CO-INVESTMENT,REAL ESTATE,922974028
"BLACKSTONE PROPERTY PARTNERS US, LP",REAL ESTATE,294445626
BROOKFIELD STRATEGIC REAL ESTATE PARTNERS III,REAL ESTATE,235217866
UC VENTURES SEPARATE ACCOUNT,REAL ESTATE,201879000
UC VENTURES SEPARATE ACCOUNT,REAL ESTATE,126876000
UC VENTURES SEPARATE ACCOUNT,REAL ESTATE,124958000
AIMBRIDGE SEPARATE ACCOUNT,REAL ESTATE,124296576
"BLACKSTONE BIOMED LIFE SCIENCE REAL ESTATE, LP",REAL ESTATE,121669236
UC VENTURES SEPARATE ACCOUNT,REAL ESTATE,116116000
"BLACKSTONE REAL ESTATE PARTNERS IX, LP",REAL ESTATE,113673653
PRISA SA,REAL ESTATE,104427232
PRISA II,REAL ESTATE,100854658
BLACKSTONE PROPERTY PARTNERS EUROPE,REAL ESTATE,91502010
BLACKSTONE REAL ESTATE PARTNERS X LP,REAL ESTATE,82851670
LION PROPERTIES FUND,REAL ESTATE,80266031
BLACKSTONE REAL ESTATE PARTNERS ASIA II,REAL ESTATE,76163773
"KSL CAPITAL PARTNERS V, L.P.",REAL ESTATE,71607584
BREAKTHROUGH PROPERTIES SEPARATE ACCOUNT,REAL ESTATE,56402426
LION INDUSTRIAL TRUST,REAL ESTATE,54254961
IPI DATA CENTER FUND I,REAL ESTATE,52961187
BROOKFIELD FAIRFIELD VAMF III,REAL ESTATE,52127043
A&E REAL ESTATE PARTNERSHIP II,REAL ESTATE,48112750
HEITMAN HART,REAL ESTATE,46331900
SAGEHALL PARTNERS FUND I LP,REAL ESTATE,44168278
SAGEHALL PARTNERS SEPARATE ACCOUNT,REAL ESTATE,43978383
FOCUS SENIOR HOUSING FUND I,REAL ESTATE,39023890
UC VENTURES SEPARATE ACCOUNT,REAL ESTATE,37093000
KKR CO-INVESTMENT,REAL ESTATE,33373363
A&E NYC WORKFORCE HOUSING,REAL ESTATE,23057153
CIM FUND VIII,REAL ESTATE,22368775
BROOKFIELD ASSET MANAGEMENT CO-INVESTMENT,REAL ESTATE,22295336
KKR REAL ESTATE PARTNERS II,REAL ESTATE,16732619
CERBERUS REAL ESTATE III,REAL ESTATE,15818094
WALTON STREET REAL ESTATE FUND VI,REAL ESTATE,15705003
KSL CAPITAL PARTNERS III,REAL ESTATE,5109286
CIM REAL ESTATE FUND III,REAL ESTATE,5088475
WESTBROOK REAL ESTATE FUND IX,REAL ESTATE,4101874
BLACKSTONE REAL ESTATE PARTNERS VII,REAL ESTATE,4100207
WESTBROOK REAL ESTATE FUND VII,REAL ESTATE,2617497
WESTBROOK REAL ESTATE FUND VIII,REAL ESTATE,1606207
WALTON STREET REAL ESTATE FUND V,REAL ESTATE,1343601
ROCKPOINT REAL ESTATE FUND III,REAL ESTATE,928630
ROCKPOINT REAL ESTATE FUND IV,REAL ESTATE,615966
RREEF GLOBAL OPP FD II,REAL ESTATE,581291
METROPOLITAN WORKFORCE HOUSING FUND,REAL ESTATE,520074
