Name,Type,Sources,Categories,Country_HQ,Industry,Stock_Symbol,Prisons,Occupations,Borders,Divestment_Shortlist,Involvement_Types
Taboola,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Taco Bell,brand,boycott.thewitness,consumer_boycott,,,,,,,,
TAG Heuer,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Tampax,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Tang,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Target Corp,company,investigate_afsc,prisons,USA,Discount Stores,TGT,Yes,,,,
Target Hospitality Corp,company,investigate_afsc,prisons|borders|divestment_shortlist,USA,Conglomerates,TH,Yes,,Yes,Yes,
Taro Pharmaceutical Industries Ltd,company,investigate_afsc,occupations,Israel,Drug Manufacturers - Specialty & Generic,TARO,,Yes,,,
Tata Motors Ltd,company,investigate_afsc,occupations,India,Auto Manufacturers,TATAMOTORS,,Yes,,,
Ted Baker,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Teledyne Technologies Inc,company,investigate_afsc,borders|divestment_shortlist,USA,Scientific & Technical Instruments,TDY,,,Yes,Yes,
Temptations,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Tempur Sealy International Inc,company,investigate_afsc,occupations,USA,"Furnishings, Fixtures & Appliances",TPX,,Yes,,,
Tera Light Ltd,company,investigate_afsc,occupations,Israel,Utilities-Renewable,TRLT,,Yes,,,
Terex Corp,company,investigate_afsc,occupations,USA,Farm & Construction Equipment,TEX,,Yes,,,
Tesco,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Teva Pharmaceutical Industries Ltd,company,investigate_afsc,occupations,Israel,Drug Manufacturers - Specialty & Generic,TEVA,,Yes,,,
Teva Pharmaceuticals,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Textron Inc,company,investigate_afsc,occupations|borders|divestment_shortlist,USA,Aerospace & Defense,TXT,,Yes,Yes,Yes,
Thales,company,investigate_afsc,borders,France,Aerospace & Defense,HO,,,Yes,,
The Carlyle Group Inc,company,investigate_afsc,borders|divestment_shortlist,USA,Software-Application,CG,,,Yes,Yes,
The GEO Group Inc,company,investigate_afsc,prisons|borders|divestment_shortlist,USA,REIT - Healthcare Facilities,GEO,Yes,,Yes,Yes,
The Kroger Co,company,investigate_afsc,prisons,USA,Grocery Stores,KR,Yes,,,,
The Ordinary,brand,boycott.thewitness,consumer_boycott,,,,,,,,
The Wendy's Co,company,investigate_afsc,prisons,USA,Restaurants,WEN,Yes,,,,
The Western Union Co,company,investigate_afsc,prisons,USA,Credit Services,WU,Yes,,,,
Themis GREN Ltd,company,investigate_afsc,occupations|divestment_shortlist,Israel,Real Estate Services,TMIS,,Yes,,Yes,
Thermo Fisher Scientific Inc,company,investigate_afsc,borders,USA,Diagnostics & Research,TMO,,,Yes,,
Thomson Reuters Corp,company,investigate_afsc,prisons|borders|divestment_shortlist,Canada,Capital Markets,TRI,Yes,,Yes,Yes,
thyssenkrupp AG,company,investigate_afsc,occupations|divestment_shortlist,Germany,Metal Fabrication,TKA,,Yes,,Yes,
Tic Tac,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Tide,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Tiffany & Co.,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Tigbur- Temporary Professional Personnel Ltd,company,investigate_afsc,occupations|divestment_shortlist,Israel,Staffing & Outsourcing Services,TIGBUR,,Yes,,Yes,
Tim Hortons,brand,boycott.thewitness,consumer_boycott,,,,,,,,
TKH Group NV,company,investigate_afsc,occupations,Netherlands,,TWEKA,,Yes,,,
Toblerone,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Tom Ford Beauty,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Too Faced,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Tory Burch,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Toyota Motor Corp,company,investigate_afsc,occupations,Japan,Auto Manufacturers,7203,,Yes,,,
Track Group Inc,company,investigate_afsc,prisons,USA,Scientific & Technical Instruments,TRCK,Yes,,,,
TransUnion,company,investigate_afsc,borders,USA,Consulting Services,TRU,,,Yes,,
Traton SE,company,investigate_afsc,occupations,Germany,Farm & Heavy Construction Machinery,8TRA,,Yes,,,
Tresemme,brand,boycott.thewitness,consumer_boycott,,,,,,,,
TripAdvisor Inc,company,investigate_afsc,occupations,USA,Leisure,TRIP,,Yes,,,
Tropicana,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Twix,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Tyson Foods Inc,company,investigate_afsc,prisons,USA,Farm Products,TSN,Yes,,,,
Unicef,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Unilever,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Urban Decay,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Valentino Beauty,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Valero Energy Corp,company,investigate_afsc,occupations|divestment_shortlist,USA,Oil & Gas Refining & Marketing,VLO,,Yes,,Yes,
Venus,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Viber,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Vicks,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Victorias Secret,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Viktor & Rolf Beauty,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Villar International Ltd,company,investigate_afsc,occupations,Israel,Real Estate Services,VILR,,Yes,,,
Vinci SA,company,investigate_afsc,occupations,France,Engineering & Construction,DG,,Yes,,,
Virco Manufacturing Corp,company,investigate_afsc,prisons,USA,"Furnishings, Fixtures & Appliances",VIRC,Yes,,,,
Visa,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Vitaminwater,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Vittel,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Volkswagen AG,company,investigate_afsc,occupations,Germany,Auto Manufacturers,VOW3,,Yes,,,
Volvic,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Volvo AB,company,investigate_afsc,occupations,Sweden,Truck Manufacturing,VOLV A,,Yes,,,
Volvo Heavy Machinery,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Walkers,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Walls Ice Creams,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Walmart,brand,boycott.thewitness|investigate_afsc,consumer_boycott|prisons,USA,Discount Stores,WMT,Yes,,,,
Waze,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Wells Fargo,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Whiskas,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Wix,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Woodward Inc,company,investigate_afsc,occupations|divestment_shortlist,USA,Aerospace & Defense,WWD,,Yes,,Yes,
Wrigley's Extra,brand,boycott.thewitness,consumer_boycott,,,,,,,,
WSP Global Inc,company,investigate_afsc,occupations,Canada,Engineering & Construction,WSP,,Yes,,,
Wyndham Hotels & Resorts Inc,company,investigate_afsc,occupations,USA,Lodging,WH,,Yes,,,
Ya'Acobi Brothers Group(YSB) Ltd,company,investigate_afsc,occupations,Israel,Engineering & Construction,YAAC,,Yes,,,
Yamaha Motor Co Ltd,company,investigate_afsc,borders,Japan,Auto Manufacturers,7272,,,Yes,,
Yum Brands Inc,company,investigate_afsc,prisons,USA,Restaurants,YUM,Yes,,,,
Yum Foods,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Yves Saint Laurent Beauty / YSL Beauty,brand,boycott.thewitness,consumer_boycott,,,,,,,,
Z M H Hammerman Ltd,company,investigate_afsc,occupations|divestment_shortlist,Israel,Real Estate Services,ZMH,,Yes,,Yes,
Zara,brand,boycott.thewitness,consumer_boycott,,,,,,,,
ZIM Integrated Shipping Services Ltd,company,investigate_afsc,occupations,Israel,Marine Shipping,ZIM,,Yes,,,
