iShares MSCI ACWI ETF
Fund Holdings as of,"Apr 02, 2026"
Inception Date,"Mar 26, 2008"
Shares Outstanding,"204,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"INTC","INTEL CORPORATION CORP","Information Technology","Equity","71,113,586.72","0.25","71,113,586.72","1,411,544.00","50.38","United States","NASDAQ","USD","1.00","USD","-"
"RY","ROYAL BANK OF CANADA","Financials","Equity","70,263,057.08","0.25","70,263,057.08","430,328.00","163.28","Canada","Toronto Stock Exchange","USD","1.39","CAD","-"
"MCD","MCDONALDS CORP","Consumer Discretionary","Equity","67,742,491.26","0.24","67,742,491.26","220,559.00","307.14","United States","NYSE","USD","1.00","USD","-"
"PEP","PEPSICO INC","Consumer Staples","Equity","66,553,555.81","0.23","66,553,555.81","423,881.00","157.01","United States","NASDAQ","USD","1.00","USD","-"
"VZ","VERIZON COMMUNICATIONS INC","Communication","Equity","64,728,918.80","0.23","64,728,918.80","1,310,302.00","49.40","United States","NYSE","USD","1.00","USD","-"
"C","CITIGROUP INC","Financials","Equity","64,199,436.25","0.23","64,199,436.25","557,045.00","115.25","United States","NYSE","USD","1.00","USD","-"
"T","AT&T INC","Communication","Equity","62,373,112.79","0.22","62,373,112.79","2,201,663.00","28.33","United States","NYSE","USD","1.00","USD","-"
"CBA","COMMONWEALTH BANK OF AUSTRALIA","Financials","Equity","62,300,015.57","0.22","62,300,015.57","521,566.00","119.45","Australia","Asx - All Markets","USD","1.45","AUD","-"
"8306","MITSUBISHI UFJ FINANCIAL GROUP INC","Financials","Equity","62,267,775.23","0.22","62,267,775.23","3,595,400.00","17.32","Japan","Tokyo Stock Exchange","USD","159.37","JPY","-"
"KLAC","KLA CORP","Information Technology","Equity","61,823,364.72","0.22","61,823,364.72","40,758.00","1,516.84","United States","NASDAQ","USD","1.00","USD","-"
"MS","MORGAN STANLEY","Financials","Equity","60,812,475.60","0.21","60,812,475.60","366,760.00","165.81","United States","NYSE","USD","1.00","USD","-"
"7203","TOYOTA MOTOR CORP","Consumer Discretionary","Equity","60,720,503.25","0.21","60,720,503.25","2,966,500.00","20.47","Japan","Tokyo Stock Exchange","USD","159.37","JPY","-"
"NEE","NEXTERA ENERGY INC","Utilities","Equity","59,453,173.80","0.21","59,453,173.80","638,252.00","93.15","United States","NYSE","USD","1.00","USD","-"
"AMGN","AMGEN INC","Health Care","Equity","58,252,462.74","0.21","58,252,462.74","167,421.00","347.94","United States","NASDAQ","USD","1.00","USD","-"
"SIE","SIEMENS N AG","Industrials","Equity","57,750,640.25","0.20","57,750,640.25","234,339.00","246.44","Germany","Xetra","USD","0.87","EUR","-"
"TMO","THERMO FISHER SCIENTIFIC INC","Health Care","Equity","57,463,960.50","0.20","57,463,960.50","116,925.00","491.46","United States","NYSE","USD","1.00","USD","-"
"TTE","TOTALENERGIES","Energy","Equity","56,774,839.43","0.20","56,774,839.43","618,880.00","91.74","France","Nyse Euronext - Euronext Paris","USD","0.87","EUR","-"
"BHP","BHP GROUP LTD","Materials","Equity","56,114,032.29","0.20","56,114,032.29","1,584,572.00","35.41","Australia","Asx - All Markets","USD","1.45","AUD","-"
"ABT","ABBOTT LABORATORIES","Health Care","Equity","55,821,376.80","0.20","55,821,376.80","542,640.00","102.87","United States","NYSE","USD","1.00","USD","-"
"SAP","SAP","Information Technology","Equity","55,592,714.71","0.20","55,592,714.71","323,224.00","171.99","Germany","Xetra","USD","0.87","EUR","-"
"TJX","TJX INC","Consumer Discretionary","Equity","55,289,566.84","0.19","55,289,566.84","342,796.00","161.29","United States","NYSE","USD","1.00","USD","-"
"TXN","TEXAS INSTRUMENT INC","Information Technology","Equity","54,950,222.08","0.19","54,950,222.08","281,984.00","194.87","United States","NASDAQ","USD","1.00","USD","-"
"CRM","SALESFORCE INC","Information Technology","Equity","54,466,759.48","0.19","54,466,759.48","290,986.00","187.18","United States","NYSE","USD","1.00","USD","-"
"GILD","GILEAD SCIENCES INC","Health Care","Equity","53,899,559.16","0.19","53,899,559.16","385,796.00","139.71","United States","NASDAQ","USD","1.00","USD","-"
"DIS","WALT DISNEY","Communication","Equity","53,489,285.82","0.19","53,489,285.82","553,662.00","96.61","United States","NYSE","USD","1.00","USD","-"
