"Name","Description","Sources / Links","Parent Company","Country"
"Old Spice","Procter & Gamble (P&G) has significant involvement in Israel since 2001, with its brands present in 98% of Israeli households, and providing work for countless Israelis. P&G operates a research and development centre in Tel Aviv, where it invests approximately $2 billion annually. In 2007 P&G established the Israel House of Innovation, an open innovation centre Through which it collaborates with Israeli companies, including Teva Pharmaceutical Industries Ltd.","https://www.forbes.com/sites/ricardogeromel/2012/05/16/procter-and-gamble-israel-startup/?sh=6684002211f5 , http://www.tevapharm.com/ , https://localhost/javascript/viewInstrument('TEVA' , 11 , 'EN') , https://localhost/javascript/viewInstrument('629014' , 45 , 'EN') , https://us.pg.com/brands/","Procter and Gamble",""
"Ole Henriksen","Skincare. This brand is owned by LVMH. LVMH owner Bernard Arnault invests hundreds of millions in Israeli companies.","https://www.timesofisrael.com/luxury-goods-magnate-bernard-arnault-invests-in-israeli-cybersecurity-firm-wiz/","LVMH",""
"Olenik Transportation Earth Work and Road Constructions","Israeli Construction on Occupied Land, The Wall and Checkpoints--A private Israeli civil engineering, construction, development and waste recycling company. In 2004, the company was among the ... See link for more.","https://www.whoprofits.org/companies/company/4235?olenik-transportation-earth-work-and-road-constructions","",""
"Olimpija Water","Water. Coca-Cola operates a factory in the illegal Israeli settlement of Atarot, which is built in Occupied Palestine.","https://www.foa.org.uk/campaign/boycottcocacola","Coca-Cola",""
"Olive Tree Ventures","Venture Capital Statement of Support for Israel. Since October 7th hundreds of VCs continue to keep their names on a document supporting Israel's actions, and continue to publicly endorse for Israel's genocide of the people of Gaza.","https://github.com/TechForPalestine/antipalestinian-vc-funds/blob/main/README.md","",""
"Olizki Infrastructure Ltd","Services to the Settlements, The Wall and Checkpoints--A private Israeli company specializing in civil and marine engineering, open pit mining, environmental projects, quarrying, real ... See link for more.","https://www.whoprofits.org/companies/company/6202?olizki-infrastructure-ltd","",""
"Olymbec","Sponsor of CJPAC","https://cjpac.ca/cjpac-sponsors/","",""
"Om2 holdings","Venture Capital Statement of Support for Israel. Since October 7th hundreds of VCs continue to keep their names on a document supporting Israel's actions, and continue to publicly endorse for Israel's genocide of the people of Gaza.","https://github.com/TechForPalestine/antipalestinian-vc-funds/blob/main/README.md","",""
"OMO Detergent","Laundry Detergent. Unilever operates in Israel through its local subsidiary Unilever Israel Foods Ltd. It has forced its other subsidiary Ben & Jerry’s into maintaining business with Israel, including selling to its illegal settlements. Unilever profits from the Israeli economy while remaining silent on the injustice of the Occupation.","https://masjidalaqsa.com/boycott/unilever-israel-bds","Unilever",""
"One Kenton Place Retirement Home","Sponsors Walk with Israel","<a href='https://bdscoalition.ca/2024/05/01/shame-on-companies-walking-with-israel-during-a-genocide/' target='_blank'>https://bdscoalition.ca/2024/05/01/shame-on-companies-walking-with-israel-during-a-genocide/","",""
"One Loved Babe","Women’s Clothing and Accessories.  Baby and Kids Clothes. One Loved Babe carries clothes from the Free People brand. Free People is owned by URBN which operates Urban Outfitters and Anthropologie stores in Israel.","https://www.jewishexponent.com/israel-welcomes-first-urban-outfitters/","One Loved Babe",""
"One Software Technologies","Services to the Settlements, Specialized Equipment and Services, The Wall and Checkpoints--The company's subsidiary One Security Computing Projects Division, an authorized supplier to the Israeli Ministry of Defense... See link for more.","https://www.whoprofits.org/companies/company/3649?one-software-technologies","",""
"One Travel Ventures","Venture Capital Statement of Support for Israel. Since October 7th hundreds of VCs continue to keep their names on a document supporting Israel's actions, and continue to publicly endorse for Israel's genocide of the people of Gaza.","https://github.com/TechForPalestine/antipalestinian-vc-funds/blob/main/README.md","",""
"OneLine Venture Capital","Venture Capital Statement of Support for Israel. Since October 7th hundreds of VCs continue to keep their names on a document supporting Israel's actions, and continue to publicly endorse for Israel's genocide of the people of Gaza.","https://github.com/TechForPalestine/antipalestinian-vc-funds/blob/main/README.md","",""
"Onex","Onex Corporation, whose founder, chair and CEO is Gerald “Gerry” Schwartz. Onex’s board of directors also includes Heather Reisman, Indigo’s CEO and Schwartz’s spouse. They are both founders of HESEG Foundation, which offers scholarships and financial support to non-Israelis who join Israel’s occupational and genocidal forces, the IOF, as so-called “lone soldiers.” Canadian taxpayers are unknowingly subsidizing both HESEG Foundation and the Gerald Schwartz and Heather Reisman Foundation through their charitable status that continues to be retained by the CRA.","https://bdscoalition.ca/2024/08/02/westjet-financial-supporters-of-the-genocidal-israeli-army/","",""
"Ontario government","The Attorney General screened to eliminate those law students who had signed petition supporting human rights for Palestinians.","https://breachmedia.ca/ontario-government-screened-law-students-who-signed-pro-palestine-letter/","",""
"Ontario government accessibility leadership","(Canada's leading children hospital for rehabilitation), March of Dimes, and the Ontario government accessibility leadership went to Israel in 2019 learn about accessibility, supporting the accessibility washing of Israeli war crimes.","https://bdscoalition.ca/?s=holland+bloorview","",""
"Ontario Municipal Employees' Retirement System","Ontario Municipal Employees' Retirement System (OMERS) SEC filing investments of$461,491,037 USD in three companies identified by AFSC Investigate :Alphabet, Chevron and Honeywell.","https://www.justpeaceadvocates.ca/pensions/ , https://www.justpeaceadvocates.ca/omers-investments-in-companies-that-have-complicity-with-international-law-violations/","",""
