Fund Name (AS CITED),SSGA S&P 500 EX‐TOB UCRP
Internal Name,S&P 500® ex-Tobacco Index Strategy
Restricted y/n,y
Ammount of companies in fund (restricted),NaN
Filing Date (restricted),NaN
Source,https://www.ssga.com/us/en/institutional/ic/strategies/sp-500-ex-tobacco-index-strategy-smp00869
Note:,"The holdings for this security are fully private, but using SSGA's normal S&P 500 fund, and using our methodology, we can roughly reconstruct their funds. Click ""informed estimate""."
,
Restricted Data:,
Company,Index Weight
Non-Public Holdings,0
,
,
,
,
Unrestricted Data Divider,
Fund Name:,State Street S&P 500 Index Fund
Ammount of companies in fund (restricted),500
Filing Date (restricted),"Feb 29, 2024"
Source,https://www.ssga.com/us/en/institutional/ic/funds/state-street-sp-500-index-fund-class-n-svspx
Company,Index Weight
Fidelity National Information Services Inc.,0.00094582
Old Dominion Freight Line Inc.,0.00093368
Paychex Inc.,0.00092828
Constellation Brands Inc. Class A,0.00092225
Cummins Inc.,0.00092085
Hess Corporation,0.00091403
L3Harris Technologies Inc,0.00090992
Dow Inc.,0.00090757
Cencora Inc.,0.00090347
Ingersoll Rand Inc.,0.00089973
Corteva Inc,0.00089823
Prudential Financial Inc.,0.00089738
Dominion Energy Inc,0.00089525
Cognizant Technology Solutions Corporation Class A,0.00089467
Otis Worldwide Corporation,0.00088568
General Mills Inc.,0.00087102
Newmont Corporation,0.00086991
PG&E Corporation,0.00085167
Gartner Inc.,0.0008514
Vulcan Materials Company,0.00083959
Martin Marietta Materials Inc.,0.0008395
CoStar Group Inc.,0.00083576
Verisk Analytics Inc,0.00083456
ON Semiconductor Corporation,0.00083415
Republic Services Inc.,0.00083385
Estee Lauder Companies Inc. Class A,0.00083229
Global Payments Inc.,0.00082624
Quanta Services Inc.,0.00082455
Exelon Corporation,0.00081694
PPG Industries Inc.,0.0008157
GE Healthcare Technologies Inc.,0.00080569
Electronic Arts Inc.,0.00079878
Kenvue Inc.,0.00079867
Equifax Inc.,0.00079649
Rockwell Automation Inc.,0.00079465
Kinder Morgan Inc Class P,0.0007945
Arch Capital Group Ltd.,0.00079092
Kroger Co.,0.00079007
Biogen Inc.,0.00077029
CDW Corporation,0.00077012
