Fund Name (AS CITED),SPDR MSCI
Internal Name,SPDR® MSCI USA StrategicFactors℠ ETF
Restricted y/n,n
Ammount of companies in fund (restricted),610
Filing Date (restricted),"Apr 29, 2024"
Source,https://www.ssga.com/us/en/institutional/etfs/funds/spdr-msci-usa-strategicfactors-etf-qus
Note:,
Restricted Data:,
Company,Index Weight
GENERAL DYNAMICS CORP,0.00082329
JACK HENRY + ASSOCIATES INC,0.00081688
VEEVA SYSTEMS INC CLASS A,0.00081634
CMS ENERGY CORP,0.00079668
EOG RESOURCES INC,0.00079667
BROADRIDGE FINANCIAL SOLUTIO,0.00074683
LPL FINANCIAL HOLDINGS INC,0.00074676
WEST PHARMACEUTICAL SERVICES,0.00074102
LENNOX INTERNATIONAL INC,0.00073682
ASPEN TECHNOLOGY INC,0.00073141
ARCHER DANIELS MIDLAND CO,0.00072188
PIONEER NATURAL RESOURCES CO,0.00072003
DISCOVER FINANCIAL SERVICES,0.00071769
TYSON FOODS INC CL A,0.00071225
FREEPORT MCMORAN INC,0.00070476
OMNICOM GROUP,0.0007007
VERALTO CORP,0.0006955
DECKERS OUTDOOR CORP,0.00069382
HCA HEALTHCARE INC,0.00069151
UNITED THERAPEUTICS CORP,0.00068861
PROLOGIS INC,0.00068349
LENNAR CORP A,0.00066176
PAYPAL HOLDINGS INC,0.00065547
DROPBOX INC CLASS A,0.00065257
SYNCHRONY FINANCIAL,0.00063976
CITIZENS FINANCIAL GROUP,0.00063905
VIATRIS INC,0.00063904
HUBBELL INC,0.00063052
TE CONNECTIVITY LTD,0.00062995
FIFTH THIRD BANCORP,0.00062549
TERADYNE INC,0.0006226
M + T BANK CORP,0.00062021
EATON CORP PLC,0.0006092
S+P GLOBAL INC,0.00060313
WATERS CORP,0.00060268
EMERSON ELECTRIC CO,0.00059586
HP INC,0.00059554
LYONDELLBASELL INDU CL A,0.00059247
SKYWORKS SOLUTIONS INC,0.00058846
HEWLETT PACKARD ENTERPRISE,0.00056706
TRADEWEB MARKETS INC CLASS A,0.00056555
STATE STREET CORP,0.00054631
MANHATTAN ASSOCIATES INC,0.00054369
KENVUE INC,0.00054013
ALTRIA GROUP INC,0.00053168
KINDER MORGAN INC,0.00053149
PACCAR INC,0.00052844
EXELON CORP,0.00052648
HUNTINGTON BANCSHARES INC,0.00052521
SYSCO CORP,0.00052367
DICK S SPORTING GOODS INC,0.00051657
DOLLAR GENERAL CORP,0.00051189
JOHNSON CONTROLS INTERNATION,0.00050788
SEMPRA,0.00050604
CSX CORP,0.00050502
P G + E CORP,0.00049524
REGIONS FINANCIAL CORP,0.00049431
INTERNATIONAL PAPER CO,0.00049203
SNAP ON INC,0.00048847
IDEX CORP,0.00048804
WATSCO INC,0.00048796
BUNGE GLOBAL SA,0.00048112
NORFOLK SOUTHERN CORP,0.00047986
L3HARRIS TECHNOLOGIES INC,0.00047836
STRYKER CORP,0.00047676
OCCIDENTAL PETROLEUM CORP,0.00047611
DUPONT DE NEMOURS INC,0.00047036
SOLVENTUM CORP,0.00046611
DEVON ENERGY CORP,0.00046517
UNITED RENTALS INC,0.00046081
POOL CORP,0.00045886
EDISON INTERNATIONAL,0.00044379
HUNT (JB) TRANSPRT SVCS INC,0.00044274
ALLY FINANCIAL INC,0.00044257
INTUIT INC,0.0004407
FIDELITY NATIONAL INFO SERV,0.0004359
OTIS WORLDWIDE CORP,0.00043426
NRG ENERGY INC,0.00043358
FACTSET RESEARCH SYSTEMS INC,0.0004292
CONSTELLATION ENERGY,0.00042796
GRACO INC,0.00042742
CHESAPEAKE ENERGY CORP,0.00042577
SCHLUMBERGER LTD,0.00042444
KEYCORP,0.00042373
BROWN FORMAN CORP CLASS B,0.00042104
BOSTON SCIENTIFIC CORP,0.00041873
ALLIANT ENERGY CORP,0.00041538
STEEL DYNAMICS INC,0.00041476
REALTY INCOME CORP,0.00041166
GLOBAL PAYMENTS INC,0.00040814
PRINCIPAL FINANCIAL GROUP,0.00040529
EPAM SYSTEMS INC,0.00040408
NORDSON CORP,0.00040374
PARKER HANNIFIN CORP,0.00040215
CHARTER COMMUNICATIONS INC A,0.00040161
CARRIER GLOBAL CORP,0.00039984
TEXAS PACIFIC LAND CORP,0.00039813
BIOGEN INC,0.00038991
BLACKSTONE INC,0.00038861
EVERGY INC,0.00038273
WESTROCK CO,0.00037828
BAKER HUGHES CO,0.00037609
GE HEALTHCARE TECHNOLOGY,0.00036931
STARBUCKS CORP,0.00036431
LAMB WESTON HOLDINGS INC,0.00036262
CBRE GROUP INC  A,0.00036124
PUBLIC SERVICE ENTERPRISE GP,0.00036078
COTERRA ENERGY INC,0.00035853
WESTERN DIGITAL CORP,0.00035725
NXP SEMICONDUCTORS NV,0.00035594
HENRY SCHEIN INC,0.00035453
ALLEGION PLC,0.0003493
ENTERGY CORP,0.00034826
KKR + CO INC,0.00034107
ONEOK INC,0.00033998
DOLLAR TREE INC,0.00033601
AMERICAN TOWER CORP,0.00033568
VICI PROPERTIES INC,0.00033228
SHERWIN WILLIAMS CO/THE,0.00033156
ATMOS ENERGY CORP,0.00033043
PARAMOUNT GLOBAL CLASS B,0.00032592
VISTRA CORP,0.00032161
DIAMONDBACK ENERGY INC,0.00032155
LABORATORY CRP OF AMER HLDGS,0.00031712
MARATHON OIL CORP,0.00031209
ALBERTSONS COS INC  CLASS A,0.00031163
MOSAIC CO/THE,0.00031008
CLEVELAND CLIFFS INC,0.00030819
DIGITAL REALTY TRUST INC,0.00030599
SIMON PROPERTY GROUP INC,0.00029982
WEYERHAEUSER CO,0.00029961
TORO CO,0.00029644
AMERICAN WATER WORKS CO INC,0.00029564
ROBERT HALF INC,0.00029509
PAYCOM SOFTWARE INC,0.000293
INTUITIVE SURGICAL INC,0.0002928
INTL FLAVORS + FRAGRANCES,0.00029103
ECOLAB INC,0.00028595
GE VERNOVA INC,0.00028112
STANLEY BLACK + DECKER INC,0.00027497
RAYMOND JAMES FINANCIAL INC,0.00027482
WABTEC CORP,0.00027444
HF SINCLAIR CORP,0.00027251
JABIL INC,0.0002697
CINCINNATI FINANCIAL CORP,0.00026948
CELANESE CORP,0.00026785
NORTHERN TRUST CORP,0.00026675
PPG INDUSTRIES INC,0.00026629
BLOCK INC,0.00026551
CONAGRA BRANDS INC,0.00026474
FIRSTENERGY CORP,0.00026419
RELIANCE INC,0.00026275
ALEXANDRIA REAL ESTATE EQUIT,0.00026211
CARMAX INC,0.00026143
BAXTER INTERNATIONAL INC,0.00026116
SEI INVESTMENTS COMPANY,0.0002607
WELLTOWER INC,0.00026052
US DOLLAR,0.00025648
ZIMMER BIOMET HOLDINGS INC,0.00025361
PPL CORP,0.00025061
GENUINE PARTS CO,0.00025039
ESTEE LAUDER COMPANIES CL A,0.00024808
