Fund Name (AS CITED),SSGA S&P 500 EX-TOB AND FF
Internal Name,Unknown
Restricted y/n,y
Ammount of companies in fund (restricted),NaN
Filing Date (restricted),NaN
Source,NaN
Note:,"The holdings for this security are fully private, but using SPDR's ex-fossil fuels S&P 500 fund, and using our methodology, we can roughly reconstruct their funds. Click ""informed estimate""."
,
Restricted Data:,
Company,Index Weight
Non-Public Holdings,0
,
,
,
,
,
,
,
,
,
,
VULCAN MATERIALS CO,0.082223
PUBLIC SERVICE ENTERPRISE GP,0.081964
ARCH CAPITAL GROUP LTD,0.081208
ROYAL CARIBBEAN CRUISES LTD,0.081001
ESTEE LAUDER COMPANIES CL A,0.080895
COGNIZANT TECH SOLUTIONS A,0.079994
CDW CORP/DE,0.079871
BAKER HUGHES CO,0.07977
OLD DOMINION FREIGHT LINE,0.079749
MONOLITHIC POWER SYSTEMS INC,0.079087
KENVUE INC,0.079064
GLOBAL PAYMENTS INC,0.078009
ARCHER DANIELS MIDLAND CO,0.077642
CONSOLIDATED EDISON INC,0.077624
DELTA AIR LINES INC,0.077315
DISCOVER FINANCIAL SERVICES,0.076801
VERISK ANALYTICS INC,0.076603
ROCKWELL AUTOMATION INC,0.076319
DUPONT DE NEMOURS INC,0.076263
RESMED INC,0.076121
XYLEM INC,0.075823
ELECTRONIC ARTS INC,0.075556
DOLLAR GENERAL CORP,0.074339
BIOGEN INC,0.074067
PPG INDUSTRIES INC,0.073439
KRAFT HEINZ CO/THE,0.073167
TRACTOR SUPPLY COMPANY,0.072995
ON SEMICONDUCTOR,0.072767
XCEL ENERGY INC,0.072127
VICI PROPERTIES INC,0.072095
WABTEC CORP,0.07052
HARTFORD FINANCIAL SVCS GRP,0.070013
EXTRA SPACE STORAGE INC,0.069298
HERSHEY CO/THE,0.068513
ANSYS INC,0.068414
FAIR ISAAC CORP,0.068254
EQUIFAX INC,0.066732
EBAY INC,0.065788
AVALONBAY COMMUNITIES INC,0.064988
EDISON INTERNATIONAL,0.064928
METTLER TOLEDO INTERNATIONAL,0.064806
FORTIVE CORP,0.064792
TARGA RESOURCES CORP,0.063274
KEYSIGHT TECHNOLOGIES IN,0.062927
CBRE GROUP INC  A,0.062738
LYONDELLBASELL INDU CL A,0.062509
CHURCH + DWIGHT CO INC,0.062343
WEST PHARMACEUTICAL SERVICES,0.062295
WILLIS TOWERS WATSON PLC,0.062094
WEC ENERGY GROUP INC,0.061831
HOWMET AEROSPACE INC,0.061748
CHARTER COMMUNICATIONS INC A,0.061537
ZIMMER BIOMET HOLDINGS INC,0.060747
CARDINAL HEALTH INC,0.060611
DOVER CORP,0.060296
T ROWE PRICE GROUP INC,0.060199
FIFTH THIRD BANCORP,0.060038
DOLLAR TREE INC,0.059804
HP INC,0.058955
PULTEGROUP INC,0.058949
NVR INC,0.05828
M + T BANK CORP,0.05794
CORNING INC,0.057524
RAYMOND JAMES FINANCIAL INC,0.056572
AMERICAN WATER WORKS CO INC,0.056363
BUILDERS FIRSTSOURCE INC,0.055481
WESTERN DIGITAL CORP,0.055371
ENTERGY CORP,0.055273
BROADRIDGE FINANCIAL SOLUTIO,0.055118
WEYERHAEUSER CO,0.055006
DTE ENERGY COMPANY,0.05478
NASDAQ INC,0.054759
GENUINE PARTS CO,0.054377
TAKE TWO INTERACTIVE SOFTWRE,0.054003
IRON MOUNTAIN INC,0.053766
STATE STREET CORP,0.053593
BALL CORP,0.053482
HUBBELL INC,0.053241
ALIGN TECHNOLOGY INC,0.052967
