Company,Index Weight
simon property group reit inc,0.0006547717934314752
infineon technologies ag,0.0006530367885149953
canadian imperial bank of commerce,0.0006507467513251492
kimberly clark corp,0.0006497692262695751
ross stores inc,0.0006493056324909224
d r horton inc,0.0006457377182336331
rolls-royce holdings plc,0.0006457182315860562
bank of new york mellon corp,0.0006429597548003623
occidental petroleum corp,0.000641563238753162
lloyds banking group plc,0.0006376831604083564
hess corp,0.000637548571031203
snowflake class a,0.0006355601288528847
investor class b,0.0006353619987361072
apollo global management inc,0.0006346749977534266
allstate corp,0.000633831522173871
sempra,0.0006337001389709769
macquarie group ltd def,0.0006335026064265921
mizuho financial group inc,0.0006306718535463188
realty income reit corp,0.0006304888435244345
ferguson plc,0.0006297177640856575
american electric power inc,0.0006285217039225296
te connectivity ltd,0.0006266905980355685
holcim ltd ag,0.0006252783853854069
johnson controls international plc,0.0006244831402581369
super micro computer inc,0.0006240481361874105
manulife financial corp,0.0006237898298967185
lonza group ag,0.0006203023473087679
sika ag,0.0006197579916826012
lululemon athletica inc,0.0006176556998975114
digital realty trust reit inc,0.0006168693576172533
nucor corp,0.000616464252719214
hong kong exchanges and clearing l,0.000615310120480652
republic services inc,0.000615000987406288
constellation brands inc class a,0.0006143304472729862
ww grainger inc,0.0006132297465343107
ameriprise finance inc,0.0006083169282219809
waste connections inc,0.0006075595142126527
palantir technologies inc class a,0.0006058214054781704
fortinet inc,0.0006052197464020453
dominion energy inc,0.0006011867347209912
takeda pharmaceutical ltd,0.0005992566391879684
block inc class a,0.0005982291132543035
prudential financial inc,0.00059747329900885
al rajhi bank,0.0005962856276618617
tata consultancy services ltd,0.0005960088567523513
ge vernova inc,0.000595440174489891
coinbase global inc class a,0.0005937976283585647
hoya corp,0.000593254598046529
kddi corp,0.0005920866120266451
agilent technologies inc,0.0005907630282379605
crown castle inc,0.0005903961454771699
jpy cash,0.0005882222552347774
fidelity national information serv,0.0005880496703152456
l3harris technologies inc,0.0005864429259689207
deutsche post ag,0.0005863455081713909
cummins inc,0.0005860893267188782
cencora inc,0.0005853649601807306
givaudan sa,0.0005843282332273815
idexx laboratories inc,0.0005839170488176025
cia vale do rio doce sh,0.0005811691837478163
monster beverage corp,0.0005806934854470683
volvo class b,0.000580421636022715
public storage reit,0.0005793190936894482
petroleo brasileiro pref sa,0.000578779493999208
fastenal,0.0005780276075345119
samsung electronics non voting pre,0.000577055076257675
msci inc,0.0005758795879638562
general mills inc,0.0005755830630125515
yum brands inc,0.0005748319197299482
centene corp,0.0005724247590669213
danone sa,0.0005715469851429681
dow inc,0.0005687645743763514
kinder morgan inc,0.0005686808959379143
alcon ag,0.000567643595339609
barclays plc,0.0005674827392609658
wolters kluwer nv,0.0005670325081376593
ametek inc,0.0005666931531769756
adidas n ag,0.0005590755200593607
kroger,0.0005538123657289812
experian plc,0.0005534390426020752
bharti airtel ltd,0.0005533378574603183
oversea-chinese banking ltd,0.0005517244604685682
sysco corp,0.0005513219836006559
paychex inc,0.0005496882218039524
3i group plc,0.000549124710219654
humana inc,0.0005491459337537233
old dominion freight line inc,0.0005490027391909602
naspers limited n ltd,0.0005484270371912042
corteva inc,0.0005483485681851962
eni,0.0005482108289757391
anglo american plc,0.0005468385086797088
quanta services inc,0.0005435105329288339
daikin industries ltd,0.0005428328997421161
reckitt benckiser group plc,0.0005413217651380428
cheniere energy inc,0.0005403791678002538
trade desk inc class a,0.0005402175491112575
nordea bank,0.0005378469345401187
netease inc,0.0005356780010605142
compagnie de saint gobain sa,0.0005343920253737914
tc energy corp,0.0005334399089041153
keurig dr pepper inc,0.0005297876726216949
lennar a corp,0.0005293367074169018
costar group inc,0.0005281121690027105
otis worldwide corp,0.0005278453076308704
arch capital group ltd,0.0005272983990290145
capgemini,0.0005257716556581683
axis bank ltd,0.0005241926643775186
ashtead group plc,0.0005224975671532704
eur cash,0.0005225187571480267
datadog inc class a,0.0005219462123428627
ingersoll rand inc,0.0005209797709054194
exelon corp,0.0005190487636757073
martin marietta materials inc,0.0005183993042276326
deutsche boerse ag,0.0005176696872532009
diamondback energy inc,0.0005120564677756252
woodside energy group ltd,0.0005108573430600319
chf cash,0.000509822313625384
ge healthcare technologies inc,0.0005073679608994702
bmw ag,0.0005064423912049977
asm international nv,0.0005059562496006846
vertiv holdings class a,0.0005026591752139784
moderna inc,0.000501231027606775
gartner inc,0.0004977635564339439
deutsche bank ag,0.0004958789234396036
royal caribbean group ltd,0.0004936959779917348
cdw corp,0.0004900472933998494
doordash inc class a,0.0004892990205916139
estee lauder inc class a,0.0004889367166628168
vulcan materials,0.000488716248341085
cognizant technology solutions cor,0.00048812140797088586
halliburton,0.0004868766783790381
jd.com class a inc,0.0004861430744187812
goodman group units,0.00048581449161053553
xiaomi corp,0.0004857383428501062
bank central asia,0.0004841073247328071
devon energy corp,0.0004836157893320979
bank of china ltd h,0.00048214793547304824
public service enterprise group in,0.00048031975578888665
dupont de nemours inc,0.0004759174650244852
pg&e corp,0.00047592300616889954
global payments inc,0.0004724390275188645
discover financial services,0.00047207172756174226
softbank corp,0.0004720496851776182
denso corp,0.00047164854282669713
electronic arts inc,0.0004704018533323767
oriental land ltd,0.00046746608017171566
verisk analytics inc,0.00046552299756229905
monolithic power systems inc,0.00046413961532598664
archer daniels midland,0.0004580168557673882
baker hughes class a,0.0004578563792556036
pernod ricard sa,0.00045687203661889773
dollar general corp,0.00045411032001737753
kraft heinz,0.00045177101255429084
consolidated edison inc,0.0004515175036123966
resmed inc,0.00044981902546179815
kenvue inc,0.0004492998905809261
swiss re ag,0.0004486518577806991
flutter entertainment plc,0.00044757132142913143
rockwell automation inc,0.0004464342008822614
veeva systems inc class a,0.0004462038952141855
the saudi national bank,0.0004446545005366283
xylem inc,0.0004431230205558622
intact financial corp,0.0004427277887930678
agnico eagle mines ltd,0.00044238497601102367
on semiconductor corp,0.0004408241665146205
dell technologies inc class c,0.0004387907318592709
smc (japan) corp,0.00043815772630730255
engie sa,0.0004375523993800953
hartford financial services group,0.0004366261092039186
biogen inc,0.0004364872522559563
ansys inc,0.00043355867123283956
barrick gold corp,0.0004324914628725112
murata manufacturing ltd,0.00043247783159589947
ppg industries inc,0.00043207801629742735
sun life financial inc,0.0004316636717276905
itau unibanco holding pref sa,0.0004307603487208396
nippon telegraph and telephone cor,0.00043050978878438756
mitsubishi electric corp,0.00043007195350483024
e.on n,0.0004292679468455802
tractor supply,0.00042709093969667283
partners group holding ag,0.0004268485900408715
hyundai motor,0.0004231527930419676
cenovus energy inc,0.00042219618312239025
industrial and commercial bank of,0.0004220039806701578
xcel energy inc,0.000420135875603822
hubspot inc,0.00041763954198576885
mettler toledo inc,0.00041760424666484363
haleon plc,0.00041698759725415494
volkswagen non-voting pref ag,0.00041696829272095716
legrand sa,0.0004166394487559882
koninklijke ahold delhaize nv,0.0004152752322941917
national bank of canada,0.0004138796141393904
rio tinto ltd,0.0004138004725065517
fair isaac corp,0.0004135649477941704
blk csh fnd treasury sl agency,0.0004125872185373527
willis towers watson plc,0.00041144162031561454
larsen and toubro ltd,0.0004082155417011181
ping an insurance (group) co of ch,0.00040780897375280594
vici pptys inc,0.00040735721863584083
bayer ag,0.00040725243906137594
adyen nv,0.00040514369729829436
equifax inc,0.0004049954578297927
westinghouse air brake technologie,0.0004044544563394274
seven & i holdings ltd,0.00040314304588978206
amadeus it group sa,0.00040303667698135076
disco corp,0.0004028764320748827
byd ltd h,0.0004022070943464002
heineken nv,0.0004021367730415932
vistra corp,0.0004019673146404524
baidu class a inc,0.00039990767064810857
atlassian corp class a,0.0003993906903613305
dsv,0.0003992689771149778
fujitsu ltd,0.0003989651610442541
michelin,0.00039796524246431026
ebay inc,0.00039688689884757964
united overseas bank ltd,0.00039678676252513005
hershey foods,0.00039607108246452453
mongodb inc class a,0.0003934093451233056
mitsubishi heavy industries ltd,0.00039288142815739884
gpo finance banorte,0.00039263337559135054
stmicroelectronics nv,0.0003923246988766014
fanuc corp,0.0003920607619692426
trip.com group ltd,0.00039171772105851815
assa abloy b,0.00039154645644267103
extra space storage reit inc,0.0003912107817058038
dassault systemes,0.0003891338500382144
lyondellbasell industries nv class,0.0003851486723706769
fortescue ltd,0.00038425474783598985
hp inc,0.0003818950546058793
advantest corp,0.00038140053430857286
gbp cash,0.0003809530786656657
canon inc,0.00038088268332896056
cbre group inc class a,0.0003808725900408474
howmet aerospace inc,0.00038007220440034617
publicis groupe sa,0.00037985907096274666
west pharmaceutical services inc,0.0003798946057625466
church and dwight inc,0.00037912560985133183
kering sa,0.00037845039578981364
raymond james inc,0.00037788853448286725
pultegroup inc,0.00037703121463161196
dollar tree inc,0.000375548847350668
fortive corp,0.000375266342956964
keysight technologies inc,0.0003746795329003706
dover corp,0.000374570603653962
vestas wind systems,0.000374382436042428
cardinal health inc,0.00037423226560933656
sumitomo corp,0.0003736824888849548
cloudflare inc class a,0.0003720281757719968
dollarama inc,0.00037061150832394714
avalonbay communities reit inc,0.0003693346219955375
nvr inc,0.0003651178674381607
tesco plc,0.0003649943029853405
thomson reuters corp,0.00036467802552605155
nutrien ltd,0.0003643304016931734
edison international,0.0003633923445353649
m&t bank corp,0.000363050185156399
wec energy group inc,0.00036243300075276743
t rowe price group inc,0.00036234290710269963
charter communications inc class a,0.00036071595388877575
builders firstsource inc,0.00036037852866563374
telefonica sa,0.0003594365983307053
bridgestone corp,0.00035818249879556054
fifth third bancorp,0.0003578044055194215
fomento economico mexicano,0.0003578129418880874
prudential plc,0.00035750658306707477
marubeni corp,0.0003561027735486133
broadridge financial solutions inc,0.0003553625919973693
renesas electronics corp,0.00035541761293347607
wheaton precious metals corp,0.0003531142381405144
assicurazioni generali,0.00035100410429143804
woolworths group ltd,0.00035067834256887696
zimmer biomet holdings inc,0.000350584689763732
equinor,0.00034960057249484834
mitsui fudosan ltd,0.0003494238127488882
state street corp,0.0003494996155840259
genuine parts,0.0003479006136040347
